sample_name	platform	qiita_prep_id	run_prefix
12802.10249.C025.01SS.r	Illumina	7898	10249.C025.01SS.r
12802.10249.C025.08SS	Illumina	7898	10249.C025.08SS
12802.10249.C025.14SD	Illumina	7898	10249.C025.14SD
12802.10249.C025.14SS	Illumina	7898	10249.C025.14SS
12802.10249.C025.20SS	Illumina	7898	10249.C025.20SS
12802.10249.C027.01SS	Illumina	7898	10249.C027.01SS
12802.10249.C027.01SS.r	Illumina	7898	10249.C027.01SS.r
12802.10249.C027.07SS	Illumina	7898	10249.C027.07SS
12802.10249.C027.15SS	Illumina	7898	10249.C027.15SS
12802.10249.C027.21SS	Illumina	7898	10249.C027.21SS
12802.10249.C030.01SS	Illumina	7898	10249.C030.01SS
12802.10249.C030.01SS.r	Illumina	7898	10249.C030.01SS.r
12802.10249.C030.08SS	Illumina	7898	10249.C030.08SS
12802.10249.C030.14SS	Illumina	7898	10249.C030.14SS
12802.10249.C031.01SS	Illumina	7898	10249.C031.01SS
12802.10249.C031.01SS.r	Illumina	7898	10249.C031.01SS.r
12802.10249.C031.08SS	Illumina	7898	10249.C031.08SS
12802.10249.C031.14SS	Illumina	7898	10249.C031.14SS
12802.10249.C031.21SS	Illumina	7898	10249.C031.21SS
12802.10249.C032.01SS	Illumina	7898	10249.C032.01SS
12802.10249.C032.15SS	Illumina	7898	10249.C032.15SS
12802.10249.C032.22SS	Illumina	7898	10249.C032.22SS
12802.10249.C033.01SS	Illumina	7898	10249.C033.01SS
12802.10249.C033.01SS.r	Illumina	7898	10249.C033.01SS.r
12802.10249.C033.06SS	Illumina	7898	10249.C033.06SS
12802.10249.C033.14SS	Illumina	7898	10249.C033.14SS
12802.10249.C034.01SS	Illumina	7898	10249.C034.01SS
12802.10249.C034.07SS	Illumina	7898	10249.C034.07SS
12802.10249.C034.08SS	Illumina	7898	10249.C034.08SS
12802.10249.C034.14SS	Illumina	7898	10249.C034.14SS
12802.10249.C035.01SS	Illumina	7898	10249.C035.01SS
12802.10249.C035.01SS.r	Illumina	7898	10249.C035.01SS.r
12802.10249.C035.07SD	Illumina	7898	10249.C035.07SD
12802.10249.C035.07SS	Illumina	7898	10249.C035.07SS
12802.10249.C035.13SD	Illumina	7898	10249.C035.13SD
12802.10249.C035.13SS	Illumina	7898	10249.C035.13SS
12802.10249.C036.01SS	Illumina	7898	10249.C036.01SS
12802.10249.C036.01SS.r	Illumina	7898	10249.C036.01SS.r
12802.10249.C036.12SS	Illumina	7898	10249.C036.12SS
12802.10249.C037.01SS	Illumina	7898	10249.C037.01SS
12802.10249.C037.01SS.r	Illumina	7898	10249.C037.01SS.r
12802.10249.C037.13SD	Illumina	7898	10249.C037.13SD
12802.10249.C037.13SS	Illumina	7898	10249.C037.13SS
12802.10249.C038.01SS	Illumina	7898	10249.C038.01SS
12802.10249.C038.01SS.r	Illumina	7898	10249.C038.01SS.r
12802.10249.C038.08SS	Illumina	7898	10249.C038.08SS
12802.10249.C038.14SS	Illumina	7898	10249.C038.14SS
12802.10249.C041.01SS	Illumina	7898	10249.C041.01SS
12802.10249.C041.01SS.r	Illumina	7898	10249.C041.01SS.r
12802.10249.C041.08SS	Illumina	7898	10249.C041.08SS
12802.10249.C042.01SS	Illumina	7898	10249.C042.01SS
12802.10249.C042.01SS.r	Illumina	7898	10249.C042.01SS.r
12802.10249.C042.07SS	Illumina	7898	10249.C042.07SS
12802.10249.C042.13SS	Illumina	7898	10249.C042.13SS
12802.10249.C043.01SS	Illumina	7898	10249.C043.01SS
12802.10249.C043.01SS.r	Illumina	7898	10249.C043.01SS.r
12802.10249.C043.07SS	Illumina	7898	10249.C043.07SS
12802.10249.C043.14SS	Illumina	7898	10249.C043.14SS
12802.10249.C044.01SS	Illumina	7898	10249.C044.01SS
12802.10249.C044.08SS	Illumina	7898	10249.C044.08SS
12802.10249.C045.01SS	Illumina	7898	10249.C045.01SS
12802.10249.C045.13SS	Illumina	7898	10249.C045.13SS
12802.10249.C046.01SS	Illumina	7898	10249.C046.01SS
12802.10249.C046.07SD	Illumina	7898	10249.C046.07SD
12802.10249.C046.07SS	Illumina	7898	10249.C046.07SS
12802.10249.C046.13SS	Illumina	7898	10249.C046.13SS
12802.10249.C047.08SD	Illumina	7898	10249.C047.08SD
12802.10249.C047.08SS	Illumina	7898	10249.C047.08SS
12802.10249.C049.01SS	Illumina	7898	10249.C049.01SS
12802.10249.C049.02SD	Illumina	7898	10249.C049.02SD
12802.10249.C049.02SS	Illumina	7898	10249.C049.02SS
12802.10249.C049.09SD	Illumina	7898	10249.C049.09SD
12802.10249.C049.09SS	Illumina	7898	10249.C049.09SS
12802.10249.C052.02SS	Illumina	7898	10249.C052.02SS
12802.10249.C052.08SS	Illumina	7898	10249.C052.08SS
12802.10249.C053.08SS	Illumina	7898	10249.C053.08SS
12802.10249.C055.01SS	Illumina	7898	10249.C055.01SS
12802.10249.C055.08SS	Illumina	7898	10249.C055.08SS
12802.10249.C056.01SS	Illumina	7898	10249.C056.01SS
12802.10249.C056.02SS	Illumina	7898	10249.C056.02SS
12802.10249.C056.09SS	Illumina	7898	10249.C056.09SS
12802.10249.M001.03R	Illumina	7898	10249.M001.03R
12802.10249.M001.03SS	Illumina	7898	10249.M001.03SS
12802.10249.M001.03V	Illumina	7898	10249.M001.03V
12802.10249.M001.04R	Illumina	7898	10249.M001.04R
12802.10249.M001.04V	Illumina	7898	10249.M001.04V
12802.10249.M001.05R	Illumina	7898	10249.M001.05R
12802.10249.M002.01SS	Illumina	7898	10249.M002.01SS
12802.10249.M002.02R	Illumina	7898	10249.M002.02R
12802.10249.M002.02V	Illumina	7898	10249.M002.02V
12802.10249.M002.03R	Illumina	7898	10249.M002.03R
12802.10249.M004.01R	Illumina	7898	10249.M004.01R
12802.10249.M004.01SS	Illumina	7898	10249.M004.01SS
12802.10249.M004.02R	Illumina	7898	10249.M004.02R
12802.10249.M004.02V	Illumina	7898	10249.M004.02V
12802.10249.M004.03R	Illumina	7898	10249.M004.03R
12802.10249.M004.03V	Illumina	7898	10249.M004.03V
12802.10249.M005.01R	Illumina	7898	10249.M005.01R
12802.10249.M005.01SS	Illumina	7898	10249.M005.01SS
12802.10249.M005.01V	Illumina	7898	10249.M005.01V
12802.10249.M005.02R	Illumina	7898	10249.M005.02R
12802.10249.M005.02V	Illumina	7898	10249.M005.02V
12802.10249.M005.03R	Illumina	7898	10249.M005.03R
12802.10249.M006.01R	Illumina	7898	10249.M006.01R
12802.10249.M006.01V	Illumina	7898	10249.M006.01V
12802.10249.M007.01R	Illumina	7898	10249.M007.01R
12802.10249.M007.01SS	Illumina	7898	10249.M007.01SS
12802.10249.M007.01V	Illumina	7898	10249.M007.01V
12802.10249.M007.02R	Illumina	7898	10249.M007.02R
12802.10249.M007.02V	Illumina	7898	10249.M007.02V
12802.10249.M007.03R	Illumina	7898	10249.M007.03R
12802.10249.M007.03V	Illumina	7898	10249.M007.03V
12802.10249.M008.01R	Illumina	7898	10249.M008.01R
12802.10249.M008.01SS	Illumina	7898	10249.M008.01SS
12802.10249.M008.01V	Illumina	7898	10249.M008.01V
12802.10249.M008.02R	Illumina	7898	10249.M008.02R
12802.10249.M008.03R	Illumina	7898	10249.M008.03R
12802.10249.M008.03V	Illumina	7898	10249.M008.03V
12802.10249.M009.01R	Illumina	7898	10249.M009.01R
12802.10249.M009.01V	Illumina	7898	10249.M009.01V
12802.10249.M009.02R	Illumina	7898	10249.M009.02R
12802.10249.M009.02V	Illumina	7898	10249.M009.02V
12802.10249.M009.03R	Illumina	7898	10249.M009.03R
12802.10249.M009.03V	Illumina	7898	10249.M009.03V
12802.10249.M010.01R	Illumina	7898	10249.M010.01R
12802.10249.M010.01SS	Illumina	7898	10249.M010.01SS
12802.10249.M010.01V	Illumina	7898	10249.M010.01V
12802.10249.M010.02R	Illumina	7898	10249.M010.02R
12802.10249.M010.02V	Illumina	7898	10249.M010.02V
12802.10249.M010.03V	Illumina	7898	10249.M010.03V
12802.10249.M011.01R	Illumina	7898	10249.M011.01R
12802.10249.M011.01SS	Illumina	7898	10249.M011.01SS
12802.10249.M011.01V	Illumina	7898	10249.M011.01V
12802.10249.M011.02R	Illumina	7898	10249.M011.02R
12802.10249.M011.02V	Illumina	7898	10249.M011.02V
12802.10249.M011.03R	Illumina	7898	10249.M011.03R
12802.10249.M011.03V	Illumina	7898	10249.M011.03V
12802.10249.M012.01R	Illumina	7898	10249.M012.01R
12802.10249.M012.01SS	Illumina	7898	10249.M012.01SS
12802.10249.M012.01V	Illumina	7898	10249.M012.01V
12802.10249.M012.02R	Illumina	7898	10249.M012.02R
12802.10249.M012.02V	Illumina	7898	10249.M012.02V
